guid,location_name,description,contact,address,address2,city,state,zipcode,country,phone,fax,email,website,latitude,longitude,hq,entity,allow_anonymous_view,allow_user_view,allow_member_view,allow_user_edit,allow_member_edit,create_dt,update_dt,creator,creator_username,owner,owner_username,status,status_detail,amenities
086dfc7a-3bc7-11e1-952a-12313b0f39a2,Aldine - Greenspoint,,,10960 North Fwy,,Houston,TX,,,832.484.9622,,,/aldine-greenspoint/,29.924057,-95.411635,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-13 13:49,26,,6,NSwallow,True,active
08834a8a-3bc7-11e1-952a-12313b0f39a2,Baytown,,,201 YMCA Dr.,,Baytown,TX,,,281.427.1797,,,/baytown/,29.785355,-94.971667,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-13 13:50,26,,6,NSwallow,True,active,1;4;9;22
088c7d94-3bc7-11e1-952a-12313b0f39a2,Brenda and John Duncan,,,10655 Clay Rd.,,Houston,TX,,,713.467.9622,,,/clay-road/,29.831879,-95.554497,False,1,True,False,False,False,False,2009-01-06 16:08,2012-10-29 11:16,26,,6,NSwallow,True,active,2;3;4;6;7;8;9;10;11;12;14;17;18;20;22;23;24;26
0948ac4e-3bc7-11e1-952a-12313b0f39a2,Conroe,,,10245 Owen Dr.,,Conroe,TX,,,936.756.9345,,,/conroe/,30.30239,-95.512608,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-13 13:51,26,,6,NSwallow,True,active,1;3;4;7;8;9;10;15;16;17;18;19;20;22;23;24;26
09541714-3bc7-11e1-952a-12313b0f39a2,Cossaboom,,,7903 S. Loop E.,,Houston,TX,,,713.643.4396,,,/cossaboom/,29.700426,-95.281766,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-13 13:51,26,,6,NSwallow,True,active,3;4;7;9;10;11;12;15;16;20;22;23;24;26
095dccc8-3bc7-11e1-952a-12313b0f39a2,D. Bradley McWilliams at Cypress Creek,,,19915 S.H. 249,,Houston,TX,,,281.469.1481,,,/cypress-creek/,29.982667,-95.56931,False,1,True,False,False,False,False,2009-01-06 16:08,2012-10-29 11:16,26,,6,NSwallow,True,active,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;22;23;24;25;26
0967a194-3bc7-11e1-952a-12313b0f39a2,Tellepsen Family Downtown,,,808 Pease,,Houston,TX,,,713.659.8501,,,/tellepsen-family/,29.752599,-95.370725,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-13 13:52,26,,6,NSwallow,True,active,2;3;4;6;7;9;10;11;12;13;17;19;20;22;23;24;26
097125d4-3bc7-11e1-952a-12313b0f39a2,E. Montgomery County Extension,,,16401 First St.,,Splendora,TX,,,281.689.2655,,,/e-montgomery/,30.20535,-95.180677,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-13 13:52,26,,6,NSwallow,True,active
097a9ee8-3bc7-11e1-952a-12313b0f39a2,Edgar A. Smith,,,14650 Hwy 3,,Webster,TX,,,281.486.9622,,,/edgar-a-smith/,29.572619,-95.150917,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-13 13:52,26,,6,NSwallow,True,active,2;3;4;6;7;9;10;15;16;17;19;22;23;26
09842b70-3bc7-11e1-952a-12313b0f39a2,Fort Bend,,,4433 Cartwright Rd.,,Missouri City,TX,,,281.499.9622,,,/fort-bend-family/,29.58232,-95.572811,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-13 13:53,26,,6,NSwallow,True,active;3;4;7;9;10;14;15;17;18;19;22;23;24;26
09960c96-3bc7-11e1-952a-12313b0f39a2,Huntsville,,,2906 Old Houston Road,,Huntsville,TX,,,936.295.8009,,,/huntsville/,30.732313,-95.570387,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-08 15:59,26,,6,NSwallow,True,active
099f4748-3bc7-11e1-952a-12313b0f39a2,YMCA International Services,,,"6300 Westpark, Ste 600",,Houston,TX,,,713.339.9015,,,/ymca-international/,29.723653,-95.495181,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-13 13:35,26,,6,NSwallow,True,active
09b15884-3bc7-11e1-952a-12313b0f39a2,Lake Houston,,,2420 W. Lake Houston Pkwy,,Kingwood,TX,,,281.360.2500,,,/lake-houston/,30.041266,-95.176781,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-13 13:36,26,,6,NSwallow,True,active,1;2;3;4;6;7;8;9;10;12;14;17;22;23;24;26
09ba4944-3bc7-11e1-952a-12313b0f39a2,Langham Creek,,,16725 Longenbaugh,,Houston,TX,,,281.859.6143,,,/langham-creek/,29.899897,-95.666305,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-13 13:36,26,,6,NSwallow,True,active,1,2,3,4,6,7,8,9,10,14,15,16,17,18,20;22;24;24;26
09c3576e-3bc7-11e1-952a-12313b0f39a2,M.D. Anderson,,,705 Cavalcade St,,Houston,TX,,,713.697.0648,,,/md-anderson/,29.803479,-95.361914,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-13 13:37,26,,6,NSwallow,True,active,4;5;6;7;9;10;15;18;22;23;24;25;26
09cd3360-3bc7-11e1-952a-12313b0f39a2,Magnolia/Tomball,,,36725 FM 1774,,Magnolia,TX,,,281.356.4077,,,/magnolia-tomball/,30.181893,-95.702572,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-13 13:41,26,,6,NSwallow,True,active
09e8995c-3bc7-11e1-952a-12313b0f39a2,Harriet and Joe Foster,,,1234 West 34th St.,,Houston,TX,,,713.869.3378,,,/harriet-joe-foster-family/,29.817515,-95.421168,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-13 13:43,26,,6,NSwallow,True,active,2;3;4;7;9;10;14;15;17;18;22;23;24;25;26
09f1a2f4-3bc7-11e1-952a-12313b0f39a2,Perry Family,,,1700 League City Pkwy W.,,League City,TX,,,281.338.9622,,,/perry-family/,29.486814,-95.110612,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-13 13:43,26,,6,NSwallow,True,active,3;4;6;7;8;9;10;14;15;17;18;22;23;24;26
0a04ad7c-3bc7-11e1-952a-12313b0f39a2,Houston Texans YMCA,,,5202 Griggs,,Houston,TX,,,713.748.5405,,,/houston-texans/,29.697565,-95.336435,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-13 13:44,26,,6,NSwallow,True,active,2;4;6;7;8;9;10;14;15;17;18;22;23;24;26
0a210a4e-3bc7-11e1-952a-12313b0f39a2,T.W. Davis,,,911 Thompson Hwy,,Richmond,TX,,,281.341.0791,,,/tw-davis/,29.575505,-95.764845,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-13 13:45,26,,6,NSwallow,True,active,2;3;4;5;6;7;9;10;11;12;14;17;18;19;20;22;23;24;26
0a335762-3bc7-11e1-952a-12313b0f39a2,Thelma Ley Anderson Family,,,3201 S. Hwy 35,,Alvin,TX,,,281.585.3112,,,/thelma-ley-anderson/,29.387434,-95.253336,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-13 13:46,26,,6,NSwallow,True,active,2;3;4;6;7;8;9;10;14;15;17;18;22;23;26
0a3c879c-3bc7-11e1-952a-12313b0f39a2,Trotter Family,,,1331 Augusta Dr.,,Houston,TX,,,713.781.1061,,,/trotter-family/,29.754363,-95.482533,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-13 13:46,26,,6,NSwallow,True,active,1;2;3;4;5;6;7;8;9;10;11;14;15;16;17;18;19;21;22;23;24;26
0a4eb200-3bc7-11e1-952a-12313b0f39a2,Vic Coppinger,,,2700 YMCA Dr.,,Pearland,TX,,,281.485.6805,,,/vic-coppinger/,29.556645,-95.266692,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-13 13:47,26,,6,NSwallow,True,active,2;3;4;5;6;7;8;9;10;15;16;17;22;23
0a57c34a-3bc7-11e1-952a-12313b0f39a2,Weekley Family,,,7101 Stella Link Blvd,,Houston,TX,,,713.664.9622,,,/weekley-family/,29.700135,-95.439974,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-13 13:47,26,,6,NSwallow,True,active,2;3;4;5;6;7;8;9;10;14;15;17;18;21;22;23;24;26
0a60cb3e-3bc7-11e1-952a-12313b0f39a2,Wendel D. Ley,,,15055 Wallisville Rd.,,Houston,TX,,,281.458.7777,,,/wendel-d-ley/,29.806446,-95.174074,False,1,True,False,False,False;,False,2009-01-06 16:08,2012-03-13 13:48,26,,6,NSwallow,True,active,2;3;4;6;7;8;9;10;14;15;18;19;20;22;23;24;25;26
0878ad28-3bc7-11e1-952a-12313b0f39a2,Alief,,,7850 Howell-Sugarland Rd. A,,Houston,TX,,,281.495.9100,,,/alief/,29.694257,-95.634528,False,1,True,False,False,False,False,2009-01-06 16:08,2014-12-31 12:38,26,,53935,sstrudler,True,active,2;3;4;6;7;8;9;10;14;15;17;18;22;23;24;26
09df5bbc-3bc7-11e1-952a-12313b0f39a2,Northeast,,,7901 Tidwell Rd.,,Houston,TX,,,713.633.0530,,,/northeast/,29.849982,-95.279186,False,1,True,False,False,False,False,2009-01-06 16:08,2014-12-31 12:40,26,,53935,sstrudler,True,active,3;4;7;9;10;15;16;22;23;24
0a69e8d6-3bc7-11e1-952a-12313b0f39a2,West Orem,,,5801 W. Orem Dr.,,Houston,TX,,,713.726.1606,,,/west-orem/,29.62722,-95.468759,False,1,True,False,False,False,False,2009-01-06 16:08,2012-03-13 13:48,26,,6,NSwallow,True,active,2;3;4;6;7;8;9;10;14;15;17;18;22;23;24;26
09fbf2ea-3bc7-11e1-952a-12313b0f39a2,San Jacinto,,,1716 Jasmine,,Pasadena,TX,,,713.473.9441,,,/san-jacinto/,29.686874,-95.164364,False,1,False,False,False,False,False,2009-01-06 16:08,2016-06-20 13:25,26,,53935,sstrudler,True,inactive
0a2a0e28-3bc7-11e1-952a-12313b0f39a2,YMCA Children's Academy at Texas Medical Center,,,"5614 H. Mark Crosswell, Jr. St.",,Houston,TX,,,713.747.2173,,,/texas-medical-center-child-care/,29.710792,-95.375403,False,1,False,False,False,False,False,2009-01-06 16:08,2016-08-30 08:37,26,,53935,sstrudler,True,inactive
09a8507c-3bc7-11e1-952a-12313b0f39a2,Monty Ballard YMCA at Cinco Ranch,,,22807 Westheimer Pkwy,,Katy,TX,,,281-392-5055,,,/katy/,29.73441,-95.765589,False,1,True,False,False,False,False,2009-01-06 16:08,2016-09-21 15:24,26,,53935,sstrudler,True,active,2;3;4;6;7;8;9;10;12;15;17;18;22;23;24;26
0a7d3300-3bc7-11e1-952a-12313b0f39a2,Sealy,,,1000 Main Street,Hill Center,Sealy,TX,,,979.256.9991,,,http://www.ymcahouston.org/sealy/,29.7794931,-96.1659507,False,1,True,False,False,False,False,2011-04-07 08:39,2012-03-13 13:55,899,,6,NSwallow,True,active,
2ce5e346-9af4-11e2-acdf-12313d334d0f,William V. Phillips Center for Leadership Development,"The William V. Phillips Center for Leadership Development (CLD) is not a public YMCA building. The YMCA of Greater Houston uses the CLD for meetings and trainings. The <a href=""http://www3.spfldcol.edu/homepage/dept.nsf/4E93DD891996606345256D1E002E387E/8F65A39F66C3FABA852573B60074DB78"" target=""_blank"";>Springfield College School of Human Services</a> is also housed in this building.",,2122 East Governors Circle,,Houston,TX,77092,,,,,/center-for-leadership-development/,29.8080218,-95.4470948,False,1,True,False,False,False,False,2013-04-01 12:47,2013-11-07 10:22,6,NSwallow,6,NSwallow,True,active
0a73d382-3bc7-11e1-952a-12313b0f39a2,YMCA Camp Cullen,,,"460 Cullen Loop, Ste A",,Trinity,TX,,,713.758.9275,,,http://www.ymcacampcullen.org/,30.935658,-95.323573,False,1,True,False,False,False,False,2009-01-06 16:08,2015-01-30 11:15,26,,57303,marylut,True,active
0a0d6cbe-3bc7-11e1-952a-12313b0f39a2,The Woodlands Family YMCA at Shadowbend,,,6145 Shadowbend,,The Woodlands,TX,,,281-367-9622,,,/smc-shadowbend/,30.185957,-95.492294,False,1,True,False,False,False,False,2009-01-06 16:08,2016-06-21 14:27,26,,53935,sstrudler,True,active,2;3;4;6;7;8;9;10;11;12;14;15;17;18;20;22;23;24;25;26
0a17d62c-3bc7-11e1-952a-12313b0f39a2,The Woodlands Family YMCA at Branch Crossing,,,8100 Ashlane Way,,The Woodlands,TX,,,281-367-9622,,,/smc-branch-crossing/,30.18134,-95.56418,False,1,True,False,False,False,False,2009-01-06 16:08,2016-06-21 14:34,26,,53935,sstrudler,True,active,2;3;4;6;7;8;9;10;11;12;14;15;17;18;20;22;23;24;25;26
15a85fc8-77e0-11e3-97b6-f23c9170582b,The Woodlands Family YMCA at Creekside,,,6464 Creekside Forest Drive,,The Woodlands,TX,77381,,832-698-1283,,,/smc-creekside/,30.1484988,-95.5187394,False,1,False,False,False,False,False,2014-01-07 15:10,2016-08-30 08:36,53806,sbissett,53935,sstrudler,True,inactive
